Feature,Importance
Lead_Time,0.40543732
Days for shipment (scheduled),0.37298194
Shipping Mode,0.13801707
Type,0.040163018
Order City,0.002470909
Order State,0.0024054248
Order Region,0.0024014965
Customer Country,0.0023962108
Order_Weekday,0.0023900103
Market,0.002376792
Order Country,0.002352959
Customer State,0.0023487373
Customer Segment,0.0023001155
Order_Year,0.0022654694
Customer City,0.0021905166
Order_Month,0.0021854965
Department Name,0.0014810219
Sales per customer,0.0013671141
Profit_Margin,0.0013602369
Category Name,0.0013152006
Order Item Discount,0.0013054454
Order Item Profit Ratio,0.0012960454
Sales,0.0012719098
Benefit per order,0.0012489778
Order Item Discount Rate,0.0012475455
Product Name,0.001237413
Order Item Quantity,0.0011689821
Order Item Product Price,0.0010166122
Order Item Total,0.0
Product Price,0.0
Order Profit Per Order,0.0
Product Status,0.0
High_Value_Order,0.0
